iter	Passed	Remaining
0	2	2793
1	4	2464
2	7	2333
3	9	2304
4	11	2253
5	13	2190
6	15	2206
7	18	2320
8	21	2344
9	23	2334
10	25	2329
11	28	2330
12	30	2342
13	33	2367
14	35	2360
15	38	2345
16	40	2322
17	42	2301
18	44	2302
19	46	2289
20	48	2275
21	51	2267
22	53	2265
23	55	2263
24	58	2265
25	59	2245
26	62	2245
27	64	2245
28	66	2234
29	69	2239
30	71	2230
31	73	2221
32	75	2219
33	77	2211
34	80	2206
35	82	2199
36	84	2194
37	86	2185
38	88	2178
39	90	2168
40	92	2166
41	116	2663
42	120	2675
43	123	2685
44	127	2713
45	130	2708
46	133	2699
47	135	2687
48	137	2676
49	141	2694
50	146	2721
51	149	2721
52	152	2720
53	154	2708
54	156	2693
55	158	2678
56	161	2664
57	164	2663
58	166	2651
59	168	2643
60	171	2634
61	173	2621
62	175	2612
63	177	2599
64	179	2585
65	181	2570
66	183	2557
67	185	2543
68	187	2528
69	189	2519
70	191	2508
71	193	2498
72	196	2489
73	198	2478
74	200	2467
75	202	2457
76	204	2447
77	206	2438
78	208	2432
79	210	2421
80	212	2410
81	214	2401
82	216	2391
83	218	2382
84	220	2374
85	222	2365
86	224	2356
87	226	2348
88	228	2339
89	230	2330
90	232	2321
91	234	2313
92	236	2306
93	238	2298
94	240	2290
95	242	2282
96	244	2274
97	246	2268
98	248	2261
99	250	2253
100	252	2248
101	254	2239
102	256	2234
103	258	2228
104	260	2223
105	262	2217
106	264	2210
107	266	2204
108	268	2197
109	270	2191
110	272	2185
111	274	2180
112	277	2176
113	279	2171
114	281	2163
115	283	2159
116	285	2155
117	287	2150
118	289	2145
119	291	2139
120	293	2133
121	295	2127
122	297	2122
123	299	2116
124	301	2110
125	303	2104
126	305	2099
127	307	2094
128	309	2088
129	311	2082
130	313	2077
131	315	2072
132	317	2067
133	319	2062
134	321	2058
135	323	2053
136	325	2048
137	327	2043
138	329	2038
139	331	2033
140	333	2029
141	335	2024
142	337	2021
143	339	2016
144	341	2011
145	343	2006
146	344	2001
147	346	1996
148	348	1992
149	350	1987
150	352	1982
151	354	1978
152	356	1973
153	358	1969
154	360	1964
155	362	1960
156	364	1956
157	366	1951
158	368	1947
159	370	1943
160	372	1938
161	374	1934
162	375	1930
163	377	1926
164	379	1922
165	381	1918
166	383	1914
167	385	1911
168	387	1907
169	389	1903
170	391	1899
171	393	1895
172	395	1892
173	397	1888
174	399	1884
175	401	1880
176	403	1876
177	405	1872
178	407	1868
179	409	1864
180	411	1860
181	412	1856
182	414	1852
183	416	1848
184	418	1844
185	420	1841
186	422	1837
187	424	1833
188	426	1830
189	428	1826
190	430	1822
191	432	1819
192	434	1815
193	436	1812
194	438	1808
195	440	1805
196	442	1802
197	444	1799
198	446	1795
199	448	1792
200	450	1789
201	452	1785
202	453	1782
203	455	1779
204	457	1775
205	459	1772
206	461	1769
207	463	1766
208	465	1763
209	467	1760
210	469	1756
211	471	1750
212	473	1747
213	474	1744
214	476	1741
215	478	1737
216	480	1734
217	482	1731
218	484	1728
219	486	1725
220	488	1722
221	490	1718
222	492	1715
223	494	1712
224	496	1709
225	498	1706
226	500	1703
227	502	1701
228	504	1698
229	506	1695
230	508	1692
231	510	1689
232	512	1686
233	514	1683
234	516	1680
235	518	1677
236	520	1674
237	522	1671
238	524	1668
239	525	1665
240	527	1662
241	529	1659
242	531	1656
243	533	1653
244	535	1650
245	537	1647
246	539	1644
247	541	1641
248	543	1638
249	545	1635
250	547	1632
251	549	1630
252	551	1627
253	553	1624
254	555	1621
255	556	1617
256	558	1614
257	560	1611
258	562	1608
259	564	1606
260	566	1603
261	568	1601
262	570	1599
263	572	1596
264	574	1594
265	577	1592
266	579	1589
267	581	1588
268	583	1585
